class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;z0 := @parameter3: boolean;;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;exportObject;;4;;public static java.rmi.activation.ActivationID exportObject(java.rmi.Remote, java.lang.String, java.rmi.MarshalledObject, boolean, int, java.rmi.server.RMIClientSocketFactory, java.rmi.server.RMIServerSocketFactory) throws java.rmi.activation.ActivationException, java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r3;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r4 := @parameter6: java.rmi.server.RMIServerSocketFactory;;NullAllowed pattern detected param is  :r3
java.rmi.Naming;; * ;; * ;;*;;r4;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r5 = new java.rmi.activation.ActivationDesc;;NullAllowed pattern detected param is  :r4
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter2: java.rmi.MarshalledObject;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;z0 := @parameter3: boolean;;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;exportObject;;2;;public static java.rmi.Remote exportObject(java.rmi.Remote, java.rmi.activation.ActivationID, int) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 := @parameter1: java.rmi.activation.ActivationID;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;i0 := @parameter2: int;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;exportObject;;4;;public static java.rmi.Remote exportObject(java.rmi.Remote, java.rmi.activation.ActivationID, int, java.rmi.server.RMIClientSocketFactory, java.rmi.server.RMIServerSocketFactory) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r3 := @parameter4: java.rmi.server.RMIServerSocketFactory;;NullAllowed pattern detected param is  :r2
java.rmi.Naming;; * ;; * ;;*;;r3;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r4 = new sun.rmi.server.ActivatableServerRef;;NullAllowed pattern detected param is  :r3
